application;category 
Прошу предоставить больничный лист за прошлую неделю.;Больничные/Медицинские справки
Как мне получить справку о болезни для работодателя?;Больничные/Медицинские справки
Нужен больничный на 5 дней, так как я заболел.;Больничные/Медицинские справки
Как быстро оформить медицинскую справку?;Больничные/Медицинские справки
Прошу заверить мой больничный, чтобы не возникло проблем с отпуском.;Больничные/Медицинские справки
Можно ли получить дубликат больничного листа?;Больничные/Медицинские справки
Как оформить справку о перенесенном заболевании?;Больничные/Медицинские справки
Нужна медицинская справка для поездки в командировку.;Больничные/Медицинские справки
Могу ли я предоставить больничный в электронном виде?;Больничные/Медицинские справки
Как долго действуют медицинские справки?;Больничные/Медицинские справки
Нужно оформить больничный лист для посещения врача.;Больничные/Медицинские справки
Как получить справку о состоянии здоровья для страховой компании? ;Больничные/Медицинские справки
Прошу продлить мой больничный до конца месяца. ;Больничные/Медицинские справки
Где получить справку для учебного заведения? ;Больничные/Медицинские справки
Каков срок действия больничного листа? ;Больничные/Медицинские справки
У меня возникли проблемы с получением дубликата больничного, помогите! ;Больничные/Медицинские справки
Как отправить больничный лист работодателю?;Больничные/Медицинские справки
Могу ли я получить медицинскую справку через интернет? ;Больничные/Медицинские справки
Нужна справка для Компенсации по временной нетрудоспособности. ;Больничные/Медицинские справки
Какова процедура получения медицинского освидетельствования?;Больничные/Медицинские справки
"""Как получить больничный лист?""";Больничные/Медицинские справки
"""Можно ли получить справку о состоянии здоровья для поездки?""";Больничные/Медицинские справки
"""Что делать, если я забыл подать справку о болезни?""";Больничные/Медицинские справки
"""Как оформить медицинский отпуск в связи с заболеванием?""";Больничные/Медицинские справки
"""Необходимо получить справку для учебного заведения по болезни.""";Больничные/Медицинские справки
"""Где взять информацию о медицинских осмотрах в компании?""";Больничные/Медицинские справки
"""Какая процедура получения медицинской справки для визы?""";Больничные/Медицинские справки
"""Как мне подать заявку на компенсацию за больничный?""";Больничные/Медицинские справки
"""Как быстро оформить больничный при обращении к врачу?""";Больничные/Медицинские справки
"""Нужна ли мне справка для получения отпускных в связи с больничным?""";Больничные/Медицинские справки
"""Как получить дополнение к больничному листу?""";Больничные/Медицинские справки
"""Где я могу найти информацию о доступных медицинских услугах?""";Больничные/Медицинские справки
"""Как оформить медицинские справки для трудовой инспекции?""";Больничные/Медицинские справки
"""Что делать, если мне нужна справка об отсутствии на работе?""";Больничные/Медицинские справки
"""Можно ли проходить медосмотр в компании в выходные дни?""";Больничные/Медицинские справки
Могу ли я запросить перевод в другой отдел?;Кадровые вопросы
Как мне получить справку о трудовой деятельности?;Кадровые вопросы
Прошу разъяснений по поводу премий.;Кадровые вопросы
Как подать жалобу на действия руководителя?;Кадровые вопросы
В какие сроки осуществляется начисление отпускных?;Кадровые вопросы
Кто отвечает за распределение корпоративных бонусов?;Кадровые вопросы
Прошу разъяснить порядок повышения квалификации. ;Кадровые вопросы
Когда начнется цикл собеседований для новых вакансий? ;Кадровые вопросы
Как подать заявку на дистанционное обучение? ;Кадровые вопросы
Могу ли я запросить зарплатные выплаты уже сейчас? ;Кадровые вопросы
Как происходит распределение командировок среди сотрудников? ;Кадровые вопросы
Нужен ли медицинский осмотр для новых сотрудников? ;Кадровые вопросы
Прошу предоставить информацию о программе корпоративного обучения. ;Кадровые вопросы
Каковы обязательства работодателя по отношению к стажерам? ;Кадровые вопросы
Как долго длится испытательный срок на новой должности?;Кадровые вопросы
Как подать запрос на изменение должности?;Кадровые вопросы
Прошу прояснить процесс оценки эффективности.;Кадровые вопросы
Когда будет следующая аттестация сотрудников?;Кадровые вопросы
Какие документы нужны для оформления рабочего контракта?;Кадровые вопросы
"""Как изменить свои контактные данные в системе?""";Кадровые вопросы
"""Где я могу найти информацию о доступных вакансиях?""";Кадровые вопросы
"""Можно ли изменить величину рабочего времени на неполный день?""";Кадровые вопросы
"""Какие документы нужны для получения справки о работе?""";Кадровые вопросы
"""Как узнать, когда начинается мой испытательный срок?""";Кадровые вопросы
"""Можно ли подать заявку на участие в обучении на курсах повышения квалификации?""";Кадровые вопросы
"""Как подать заявку на перевод в другой отдел?""";Кадровые вопросы
"""Что делать, если я забыл пароль к личному кабинету?""";Кадровые вопросы
"""Могу ли я получить рекомендации по карьерному росту?""";Кадровые вопросы
"""Как оплатить семинар по профессиональному развитию?""";Кадровые вопросы
"""Хочу узнать о возможностях карьерного расти.""";Кадровые вопросы
"""Как мне подать запрос на временный перевод в другой город?""";Кадровые вопросы
"""Какие преимущества презентует компания в плане медицинских услуг?""";Кадровые вопросы
"""Где я могу ознакомиться с внутренними правилами компании?""";Кадровые вопросы
"""Как уточнить свои должностные обязанности?""";Кадровые вопросы
Хочу взять отгул 5 и 6 мая.;Отпуск
Прошу согласовать мой отпуск с 15 по 30 июня.;Отпуск
Необходимо подтвердить мой отпуск на 12 июля.;Отпуск
Хочу взять отпуск по уходу за ребенком.;Отпуск
Пожалуйста, помогите оформить расширенный отпуск.;Отпуск
Как мне оформить отпуск на летние каникулы?;Отпуск
Прошу предоставить отпуск с 10 по 20 июня.;Отпуск
Хочу взять несколько дней отпуска в начале мая. ;Отпуск
Могу ли я заменить календарный отпуск на денежную компенсацию? ;Отпуск
Как оформить отпуск для учебы? ;Отпуск
Прошу рассмотреть возможность продления моего отпуска. ;Отпуск
Хочу взять отпуск по уходу за больным родственником. ;Отпуск
Необходимо согласовать отпуск с 1 по 5 апреля. ;Отпуск
Напоминаю о своей просьбе на отпуск в сентябре. ;Отпуск
Какие документы нужны для оформления летнего отпуска? ;Отпуск
Можно ли взять отпуск с получением зарплаты за это время?;Отпуск
Как долго будет действовать моя заявка на отпуск?;Отпуск
Хочу взять отпуск с 1 по 14 июля.;Отпуск
Прошу предоставить отпуск на 10 дней в августе.;Отпуск
Можно ли оформить отпуск на первую неделю сентября?;Отпуск
Напоминаю о своей просьбе взять отпуск в конце года.;Отпуск
"""Хочу взять отгул 5 и 6 мая.""";Отпуск
"""Прошу предоставить отпуск с 10 по 20 июня.""";Отпуск
"""Планирую взять отпуск с 1 по 15 августа. Подскажите, как оформить.""";Отпуск
"""Необходимо перенести отпуск с августа на сентябрь.""";Отпуск
"""Могу ли я взять дополнительный отпуск на одну неделю в октябре?""";Отпуск
"""Как оформить отгул на 3 дня из-за семейных обстоятельств?""";Отпуск
"""Прошу согласовать отпуск на новогодние праздники с 31 декабря по 8 января.""";Отпуск
"""В связи с учебой хочу взять короткий отпуск с 15 по 17 марта.""";Отпуск
"""Что нужно для оформления отпуска по уходу за ребенком?""";Отпуск
"""Хочу задать вопрос о переносе заранее запланированного отпуска.""";Отпуск
"""Могу ли я взять выходные 12 и 13 апреля без оформления заявки?""";Отпуск
"""Прошу о содействии в переносе отпуска на май.""";Отпуск
"""Как мне оформить отпуск в рамках станции программы?""";Отпуск
"""Жду ответа по заявке на отпуск на конец месяца.""";Отпуск
"""Планирую взять краткосрочный отпуск из-за личных дел.""";Отпуск
Нужно организовать корпоративное мероприятие в следующем месяце.;Прочее
Как мы можем улучшить условия работы в офисе?;Прочее
Прошу помощи в организации курсов повышения квалификации.;Прочее
Когда будет следующее собрание коллектива?;Прочее
Нужно обновить контактные данные в системе.;Прочее
Как обратиться в компанию по поводу улучшения условий труда?;Прочее
Запрашиваю информацию о доступных тренингах.;Прочее
Как подавать пожелания по улучшению работы отдела?;Прочее
Прошу организовать встречу с руководством.;Прочее
Как подать заявку на корпоративный обед в честь праздника?;Прочее
Как можно предложить свои идеи по улучшению рабочего процесса?;Прочее
Прошу помочь в организации внутрикорпоративного турнира по спорту.;Прочее
Как получить информацию о доступных вакансиях в других филиалах?;Прочее
Хочу инициировать обсуждение по поводу улучшения безопасности на работе.;Прочее
Как организовать экскурсию для новых сотрудников?;Прочее
Прошу рассмотреть возможность создания клуба по интересам в компании.;Прочее
Как подать заявку на участие в волонтерских проектах?;Прочее
Как часто проходят тренинги по личностному развитию?;Прочее
Где можно найти информацию о корпоративных акциях?;Прочее
Как организовать общий сбор для обсуждения новостей компании?;Прочее
"""Как организовать корпоративное мероприятие?""";Прочее
"""Интересуюсь политикой компании по поводу волонтерства.""";Прочее
"""Могу ли я предложить новую идею для команды?""";Прочее
"""Каковы правила работы с личными данными в организации?""";Прочее
"""Где я могу ознакомиться с внутренними стандартами компании?""";Прочее
"""Как предложить улучшения к процессам в команде?""";Прочее
"""Как задать вопросы руководству о корпоративной культуре?""";Прочее
"""Как подписаться на внутренние новости компании?""";Прочее
"""Интересует возможность участия в социальных проектах.""";Прочее
"""Как узнать об обсуждениях по изменению рабочего времени?""";Прочее
"""Где я могу найти информацию о текущих и будущих проектах?""";Прочее
"""Как предложить идеи для повышения морального духа в команде?""";Прочее
"""Могу ли я участвовать в создании команды по улучшению процессов?""";Прочее
"""Где узнать информацию о ближайших корпоративных встречах?""";Прочее
"""Как подать заявку на проведение опроса среди сотрудников?""";Прочее
Компьютер зависает, не могу работать.;Технические проблемы / IT-поддержка
Пожалуйста, перезагрузите мой аккаунт в системе.;Технические проблемы / IT-поддержка
У меня проблемы с доступом к корпоративной электронной почте.;Технические проблемы / IT-поддержка
Не удается подключиться к домашнему Wi-Fi.;Технические проблемы / IT-поддержка
Прошу установить обновление программного обеспечения.;Технические проблемы / IT-поддержка
Нужна помощь с настройкой принтера.;Технические проблемы / IT-поддержка
Как изменить пароль от учетной записи?;Технические проблемы / IT-поддержка
Программа не открывается, нужна помощь.;Технические проблемы / IT-поддержка
Как подключить свой ноутбук к проектору?;Технические проблемы / IT-поддержка
Произошла ошибка в CRM, не могу выполнить задание.;Технические проблемы / IT-поддержка
Не могу установить новое программное обеспечение, нужна помощь.;Технические проблемы / IT-поддержка
Запрашиваю восстановление доступа к удаленной системе. ;Технические проблемы / IT-поддержка
Как мне настроить двуфакторную аутентификацию? ;Технические проблемы / IT-поддержка
Компьютер не распознает внешний жесткий диск. ;Технические проблемы / IT-поддержка
У меня пропал звук на компьютере, как это исправить? ;Технические проблемы / IT-поддержка
Нужна помощь с настройкой виртуальной машины. ;Технические проблемы / IT-поддержка
Как удалить вирус с моего устройства? ;Технические проблемы / IT-поддержка
Не удается подключиться к корпоративной VPN. ;Технические проблемы / IT-поддержка
Как часто обновляется антивирусное программное обеспечение? ;Технические проблемы / IT-поддержка
Прошу устранить проблему с медленным интернет-соединением.;Технические проблемы / IT-поддержка
"""Не могу войти в свою учетную запись, помогите, пожалуйста.""";Технические проблемы / IT-поддержка
"""Прошу помощи в установке программного обеспечения на мой компьютер.""";Технические проблемы / IT-поддержка
"""Как выйти из системы на мобильном устройстве?""";Технические проблемы / IT-поддержка
"""У меня возникли проблемы с интернет-соединением. Как их решить?""";Технические проблемы / IT-поддержка
"""Необходимо восстановить пароль от учетной записи. Чем помочь?""";Технические проблемы / IT-поддержка
"""Как настроить доступ к вашему серверу для удаленной работы?""";Технические проблемы / IT-поддержка
"""У меня не работает принтер, к которому подключен мой компьютер.""";Технические проблемы / IT-поддержка
"""Как обновить антивирусное ПО на рабочем компьютере?""";Технические проблемы / IT-поддержка
"""Могу ли я получить помощь в ремонте ноутбука?""";Технические проблемы / IT-поддержка
"""Как удалить программу, которая больше не нужна?""";Технические проблемы / IT-поддержка
"""Запрос на доступ к системам для работы с клиентами.""";Технические проблемы / IT-поддержка
"""Что делать, если в работе презентации возникли проблемы?""";Технические проблемы / IT-поддержка
"""Как организовать рабочее место для работы на удаленке?""";Технические проблемы / IT-поддержка
"""Как отправить сообщение через корпоративный мессенджер?""";Технические проблемы / IT-поддержка
"""Нужна помощь в настройке видеоконференции.""";Технические проблемы / IT-поддержка
Почему не начислены премии за последний месяц?;Финансовые вопросы
Прошу предоставить расчетный лист за март.;Финансовые вопросы
Когда будет выплачена заработная плата за апрель?;Финансовые вопросы
Как узнать, как рассчитываются бонусы?;Финансовые вопросы
Нужен отчет о налогах за предыдущий год.;Финансовые вопросы
Как оформить возврат излишне уплаченных налогов?;Финансовые вопросы
Почему была задержка в начислении зарплаты?;Финансовые вопросы
Как подать заявку на улучшение условий зарплаты?;Финансовые вопросы
Когда будет следующая выплата по программе лояльности?;Финансовые вопросы
Как проверить статус моего счета по премиям?;Финансовые вопросы
Как узнать, какие налоги были удержаны из моей зарплаты?;Финансовые вопросы
Почему нет информации о премиях в моем личном кабинете?;Финансовые вопросы
Необходимо объяснить порядок расчета компенсации при увольнении.;Финансовые вопросы
Как оформляется выплата по итогам работы за квартал?;Финансовые вопросы
Когда будет проведен перерасчет зарплаты?;Финансовые вопросы
Как узнать, есть ли у меня право на дополнительные бонусы? ;Финансовые вопросы
Хочу узнать, когда будут выплачены отпускные.;Финансовые вопросы
Как подать заявку на получение материалов для обучения за счет компании?;Финансовые вопросы
Могу ли я запросить отчет о своих налоговых платежах?;Финансовые вопросы
Каковы условия для получения финансовой помощи от компании?;Финансовые вопросы
"""Как я могу разобраться с начислениями по зарплате?""";Финансовые вопросы
"""Когда будут выплачены премии?""";Финансовые вопросы
"""Как подать заявку на возмещение командировочных расходов?""";Финансовые вопросы
"""Где я могу получить справку о своих доходах за год?""";Финансовые вопросы
"""Как узнать, когда будет следующая выплата зарплаты?""";Финансовые вопросы
"""Необходимо уточнить информацию о налоговых вычетах.""";Финансовые вопросы
"""Как мне изменить способ получения зарплаты?""";Финансовые вопросы
"""Как подать вопрос о перерасчете за переработку?""";Финансовые вопросы
"""Как узнать о размерах выходного пособия при увольнении?""";Финансовые вопросы
"""Когда произойдет начисление отпускных?""";Финансовые вопросы
"""Где я могу узнать о возможности получения материальной помощи?""";Финансовые вопросы
"""Как получать информацию о пенсионных отчислениях?""";Финансовые вопросы
"""Обращаюсь за разъяснениями по начислению бонусов.""";Финансовые вопросы
"""Какова процедура создания специализированного счёта для зарплаты?""";Финансовые вопросы
"""Можно ли получить информацию о медицинском страховании?""";Финансовые вопросы
